from,to,detail,type,contract_size
UK government,Topham Guerin,"Topham Guerin was <a target=""_blank"" href=""https://www.opendemocracy.net/en/dark-money-investigations/revealed-tory-linked-pr-firm-given-3m-covid-19-contract-without-tender/"">awarded a £3 million contract</a> by the Cabinet Office to work on COVID-19 messaging without tender",contract,3000
Topham Guerin,Ben Guerin,Ben Guerin is a founding partner of Topham Guerin,member,
Topham Guerin,Sean Topham,Sean Topham is a founding partner of Topham Guerin,member,
Conservative party,Topham Guerin,"Topham Guerin was hired to run <a target=""_blank"" href=""https://www.ft.com/content/a61cd0b2-0ba4-11ea-bb52-34c8d9dc6d84"">digital campaign strategy</a> for the Conservatives in the 2019 election, including a stunt where the Conservative party Twitter account was renamed ""factcheckUK"" in an attempt to mislead users",contract,
Conservative party,Michael Gove,Michael Gove is a Conservative MP and Minister for the Cabinet Office,member,
UK government,Public First,"Public First was awarded an <a target=""_blank"" href=""https://www.opendemocracy.net/en/dark-money-investigations/revealed-key-cummings-ally-given-840000-covid-contract-without-competition/"">£840,000 contract</a> without open tender, though the firm ultimately invoiced the Cabinet Office <a href=""https://www.theguardian.com/politics/2020/nov/18/no-documentation-no-justification-nao-criticism-of-covid-contracts"">a smaller sum of £550,000</a>",contract,840
Public First,James Frayne,James Frayne is a founding partner of PR firm Public First,member,
New Frontiers Foundation,James Frayne,"James Frayne was a founding member of New Frontiers Foundation, a rightwing think tank",member,
New Frontiers Foundation,Dominic Cummings,"Dominic Cummings was a founding member of New Frontiers Foundation, a rightwing think tank",member,
Public First,Rachel Wolf,Rachel Wolf is a founding partner of PR firm Public First,member,
Rachel Wolf,Michael Gove,Rachel Wolf is a former adviser to Michael Gove,job,
Conservative party,Rachel Wolf,Rachel Wolf co-wrote the 2019 Tory manifesto,job,
Business for Sterling,James Frayne,"James Frayne was a policy research for ""Business for Sterling"", a campaign against Britain joining the Euro",member,
Business for Sterling,Dominic Cummings,"Dominic Cummings was campaign director at ""Business for Sterling"", a campaign against Britain joining the Euro",member,
Conservative party,Dominic Cummings,"Dominic Cummings recently served as Chief Adviser to the Prime Minister, and previously as Director of Strategy for then-leader Iain Duncan-Smith in 2002",job,
Dominic Cummings,Michael Gove,"Dominic Cummings was a Special Adviser to Michael Gove at Department for Education, 2011-2014",job,
New Schools Network,Rachel Wolf,Rachel Wolf founded the New Schools Network,member,
New Schools Network,Dominic Cummings,Dominic Cummings worked as a paid freelancer for the New Schools Network in 2010,job,
Babylon Health,Dominic Cummings,Dominic Cummings served as a Communications adviser for Babylon Health until 2018,job,
Babylon Health,Matt Hancock,"Matt Hancock appeared in a <a target=""_blank"" href=""https://www.theguardian.com/politics/2018/nov/30/matt-hancock-accused-of-breaching-code-over-gp-app-endorsement"">paid ""advertorial"" for Babylon Health</a> in the Evening Standard",job,
Conservative party,Matt Hancock,Matt Hancock is a Conservative MP and government minister,member,
Conservative party,Globus (Shetland),"Globus (Shetland) has donated <a target=""_blank"" href=""http://search.electoralcommission.org.uk/?currentPage=1&rows=10&query=globus&sort=AcceptedDate&order=desc&tab=1&et=pp&et=ppm&et=tp&et=perpar&et=rd&isIrishSourceYes=true&isIrishSourceNo=true&prePoll=false&postPoll=true&register=gb&register=ni&register=none&optCols=Register&optCols=CampaigningName&optCols=AccountingUnitsAsCentralParty&optCols=IsSponsorship&optCols=IsIrishSource&optCols=RegulatedDoneeType&optCols=CompanyRegistrationNumber&optCols=Postcode&optCols=NatureOfDonation&optCols=PurposeOfVisit&optCols=DonationAction&optCols=ReportedDate&optCols=IsReportedPrePoll&optCols=ReportingPeriodName&optCols=IsBequest&optCols=IsAggregation"">more than £350,000</a> to the Tories since 2016",donor,350
UK government,Globus (Shetland),"Globus (Shetland) was awarded a <a target=""_blank"" href=""https://bylinetimes.com/2020/09/16/company-conservative-donations-government-ppe-procurement-deal/"">£93 million PPE contract</a> by the UK government",contract,93000
UK government,Conservative party,The Conservatives have been in government since 2010 (in coalition) and since 2015 as a single-party government,member,
UK government,Boris Johnson,Boris Johnson is the Prime Minister,member,
Conservative party,Boris Johnson,Boris Johnson is a Conservative MP and currently Prime Minister,member,
Leader's Club,Boris Johnson,The Prime Minister regularly attends private dinners and drinks receptions with this group of wealthy Tory donors,group,
Globus Group,Haraldur Agustsson,Agustsson is CEO of Globus Group,job,
UK government,Serco,"Serco has been awarded <a target=""_blank"" href=""https://www.opendemocracy.net/en/dark-money-investigations/revealed-failing-serco-won-another-57m-covid-contract-without-competition/"">several large government contracts</a>, including a contact-tracing contract that is reportedly worth up to £410 million and a contract for COVID-19 testing centres worth £57 million",contract,467000
Conservative party,Edward Argar,Edward Argar is a Conservative MP and government minister,member,
UK government,Edward Argar,Edward Argar is a Conservative MP and government minister,job,
Serco,Edward Argar,Edward Argar was formerly head of UK and Europe public affairs at Serco,job,
Rupert Soames,Nicholas Soames,Rupert and Nicholas Soames are brothers,family,
Conservative party,Nicholas Soames,Nicholas Soames was a Conservative MP,member,
UK government,Randox,"Randox has been awarded <a target=""_blank"" href=""https://www.theguardian.com/world/2020/nov/04/tory-linked-firm-involved-in-testing-failure-awarded-new-347m-covid-contract"">contracts for COVID-19 testing worth nearly £500 million</a> unopposed, despite the company having to recall tests over the summer due to fears of contamination",contract,480000
Randox,Owen Paterson,"Conservative MP Owen Paterson is <a target=""_blank"" href=""https://www.theguardian.com/world/2020/nov/04/tory-linked-firm-involved-in-testing-failure-awarded-new-347m-covid-contract"">paid £100,000 per year by Randox</a> to serve as a ""consultant""",job,
UK 2020,Owen Paterson,"Think tank ""UK 2020"" founded by Conservative MP Owen Patterson",member,
UK 2020,Unknown donors,"Conservative MP Owen Paterson received at least £39,000 from unknown donors to fund overseas trips via his thinktank ""UK 2020""",donor,39
UK 2020,Randox,"Randox sponsored a ""UK 2020"" report",connection,
UK 2020,Christopher Bullivant,"Christopher Bullivant was a member of rightwing think tank ""UK 2020""",member,
Owen Paterson,Christopher Bullivant,Conservative MP Owen Paterson granted Christopher Bullivant a parliamentary pass,informal,
Owen Paterson,Matt Ridley,Owen Paterson was married to Matt Ridley's sister Rose Paterson,family,
UK government,P14 Medical,"P14 Medical was awarded a <a target=""_blank"" href=""https://www.opendemocracy.net/en/dark-money-investigations/government-accused-of-cronyism-after-tory-councillor-wins-156m-covid-contract/"">£156 million contract</a> to import PPE from China, without any competition",contract,156000
P14 Medical,Steve Dechan,"Steve Dechan, a former Conservative local councillor, is the founder of P14 Medical",job,
UK government,Ayanda Capital,"Ayanda Capital, a family investment fund with no prior links to the healthcare sector, was awarded a £252 million contract to supply face masks, which were then found to be faulty",contract,252000
Liz Truss,Andrew Mills,Andrew Mills is an adviser to Tory minister Liz Truss,job,
Ayanda Capital,Andrew Mills,Andrew Mills was an adviser to Ayanda Capital and brokered the deal under which Ayanda was to provide 50 million face masks to the UK government,job,
John Penrose,Dido Harding,Dido Harding is married to Conservative MP John Penrose,family,
McKinsey,John Penrose,John Penrose formerly worked at McKinsey,job,
McKinsey,Dido Harding,Dido Harding formerly worked at McKinsey,job,
David Cameron,Dido Harding,David Cameron and Dido Harding are friends and attended Oxford University together,informal,
PPE Medpro,Anthony Page,"Anthony Page founded PPE Medpro in 2020, just a month before it was awarded a large government contract",job,
UK government,PPE Medpro,"PPE Medro was awarded a <a target=""_blank"" href=""https://bylinetimes.com/2020/09/14/government-awards-122-million-ppe-contract-to-one-month-old-firm/"">£122 million contract</a> to supply PPE to the NHS",contract,122000
Anthony Page,Michelle Mone,"Before founding PPE Medpro, Anthony Page was the secretary of the company which manages Michelle Mone's ""brand""",job,
UK government,Dido Harding,Dido Harding runs the NHS Test and Trace program,job,
Douglas Barrowman,Knox Group,Douglas Barrowman founded the Knox group of companies,job,
Douglas Barrowman,Michelle Mone,Douglas Barrowman and Michelle Mone are engaged,family,
Conservative party,Lancaster Knox,"Lancaster Knox has given <a target=""_blank"" href=""http://search.electoralcommission.org.uk/?currentPage=1&rows=10&query=lancaster%20knox&sort=AcceptedDate&order=desc&tab=1&et=pp&et=ppm&et=tp&et=perpar&et=rd&isIrishSourceYes=true&isIrishSourceNo=true&prePoll=false&postPoll=true&register=gb&register=ni&register=none&optCols=Register&optCols=CampaigningName&optCols=AccountingUnitsAsCentralParty&optCols=IsSponsorship&optCols=IsIrishSource&optCols=RegulatedDoneeType&optCols=CompanyRegistrationNumber&optCols=Postcode&optCols=NatureOfDonation&optCols=PurposeOfVisit&optCols=DonationAction&optCols=ReportedDate&optCols=IsReportedPrePoll&optCols=ReportingPeriodName&optCols=IsBequest&optCols=IsAggregation"">over £200,000 to the Conservative party</a> since 2017",donor,200
Serco,Rupert Soames,Rupert Soames is CEO of outsourcing company Serco,job,
Conservative party,Matt Ridley,Matt Ridley is a Conservative hereditary peer,job,
Conservative party,Owen Paterson,Owen Paterson is a Conservative MP,job,
Conservative party,John Penrose,John Penrose is a Conservative MP,job,
Conservative party,David Cameron,David Cameron was a Conservative Prime Minister,job,
Conservative party,Liz Truss,Liz Truss is a Conservative MP and minister,job,
Conservative party,Steve Dechan,"Steve Dechan was a Conservative local councillor for Stroud, until he stood down in August 2020",job,
Conservative party,Michelle Mone,Michelle Mone was made into a Conservative peer by David Cameron in 2015,job,
Knox House Trust,Anthony Page,Anthony Page is the Director of the Family Office at Knox House Trust,job,
Knox Group,Knox House Trust,Knox House Trust is part of the Knox group of companies,corporate,
Knox Group,Lancaster Knox,Lancaster Knox is part of the Knox group of companies,corporate,
Conservative party,Douglas Barrowman,"Billionaire Douglas Barrowman tried to <a target=""_blank"" href=""http://search.electoralcommission.org.uk/English/Donations/I0405715"">donate £2,500</a> to the Tories in 2019, but it was returned since he was not on the electoral register at the time, making him an ""impermissible donor"" under the current rules. ",donor,2.5
Andrew Feldman,Deborah Feldman,Andrew and Deborah Feldman are siblings,family,
Conservative party,Andrew Feldman,Andrew Feldman was made a Conservative peer in 2010 and previously served as co-chairman of the Conservative party,job,
David Cameron,Andrew Feldman,"Andrew Feldman has been described as David Cameron's <a target=""_blank"" href=""https://www.ft.com/content/2e79710a-6e31-11e1-baa5-00144feab49a#axzz2TdHhaKcC"">oldest political friend""</a>. Feldman ran fundraising for Cameron's successful Tory leadership bid in 2005. Cameron subsequently made Feldman a life peer in 2010.",connection,
Topham Guerin,Deborah Feldman,Deborah Feldman is a Managing Director at Topham Guerin,job,
Andrew Feldman,Jayroma,"Andrew Feldman created London-based clothing company Jayroma, and used it to <a target=""_blank"" href=""https://www.theguardian.com/politics/2013/jun/01/lord-feldman-row-corporation-tax-tory"">funnel tens of thousands of pounds</a> in donations to the Conservative party",job,
Conservative party,Jayroma,"Andrew Feldman used his clothing company to <a target=""_blank"" href=""http://search.electoralcommission.org.uk/?currentPage=2&rows=10&query=jayroma&sort=AcceptedDate&order=desc&tab=1&et=pp&et=ppm&et=tp&et=perpar&et=rd&isIrishSourceYes=true&isIrishSourceNo=true&prePoll=false&postPoll=true&register=gb&register=ni&register=none&optCols=Register&optCols=CampaigningName&optCols=AccountingUnitsAsCentralParty&optCols=IsSponsorship&optCols=IsIrishSource&optCols=RegulatedDoneeType&optCols=CompanyRegistrationNumber&optCols=Postcode&optCols=NatureOfDonation&optCols=PurposeOfVisit&optCols=DonationAction&optCols=ReportedDate&optCols=IsReportedPrePoll&optCols=ReportingPeriodName&optCols=IsBequest&optCols=IsAggregation"">funnel over £100,000</a> in donations to the Conservative party",donor,100
David Cameron,Jayroma,"Jayroma, the clothing company run by Andrew Feldman, <a target=""_blank"" href=""http://search.electoralcommission.org.uk/?currentPage=2&rows=10&query=jayroma&sort=AcceptedDate&order=desc&tab=1&et=pp&et=ppm&et=tp&et=perpar&et=rd&isIrishSourceYes=true&isIrishSourceNo=true&prePoll=false&postPoll=true&register=gb&register=ni&register=none&optCols=Register&optCols=CampaigningName&optCols=AccountingUnitsAsCentralParty&optCols=IsSponsorship&optCols=IsIrishSource&optCols=RegulatedDoneeType&optCols=CompanyRegistrationNumber&optCols=Postcode&optCols=NatureOfDonation&optCols=PurposeOfVisit&optCols=DonationAction&optCols=ReportedDate&optCols=IsReportedPrePoll&optCols=ReportingPeriodName&optCols=IsBequest&optCols=IsAggregation"">donated £10,000 to David Cameron's leadership campaign</a> in 2005",donor,10
Kate Bingham,Jesse Norman,Kate Bingham is married to Conservative MP and government minister Jesse Norman,family,
UK government,Kate Bingham,Kate Bingham was appointed to run the UK Vaccine Taskforce,job,
UK government,Patrick Vallance,Patrick Vallance is the Chief Scientific Adviser to the UK government,job,
Patrick Vallance,GlaxoSmithKline,"Patrick Vallance was president of research and development at GlaxoSmithKline (GSK) from 2012 to 2018. Vallance currently holds <a target=""_blank"" href=""https://www.theguardian.com/uk-news/2020/nov/08/uks-coronavirus-vaccine-taskforce-chief-faces-questions-over-biotech-fund"">£600,000 worth of GSK shares</a> as part of a deferred bonus.",job,
Rachel Johnson,Boris Johnson,Rachel and Boris Johnson are siblings,family,
Kate Bingham,Rachel Johnson,"Kate Bingham and Rachel Johnson <a target=""_blank"" href=""https://www.spectator.co.uk/article/boomer-and-bust-covid-is-fast-forwarding-us-into-retirement"">went to school together</a> at St Paul's Girls' School",connection,
Rachel Johnson,Jo Johnson,Rachel and Jo Johnson are siblings,family,
Boris Johnson,Jo Johnson,Boris and Jo Johnson are siblings. Boris Johnson elevated his brother Jo to the House of Lords in the 2019 honours list.,family,
Rachel Johnson,Ivo Dawnay,Rachel Johnson is married to Ivo Dawnay,family,
Tom Bingham,Ivo Dawnay,"Tom Bingham and Ivo Dawnay <a target=""_blank"" href=""Tom Bingham"">are cousins</a>",family,
Tom Bingham,Kate Bingham,Kate Bingham is the daughter of Tom Bingham,family,
Tom Bingham,Ivo Dawnay,"Ivo Dawnay ran Tom Bingham's <a target=""_blank"" href=""https://www.theguardian.com/education/2003/mar/17/highereducation.careers1"">campaign to be chancellor of Oxford University</a> in 2003",job,
Boris Johnson,Max Johnson,Max Johnson is a half-brother to Boris Johnson,family,
Max Johnson,REVIV Global,"Max Johnson <a target=""_blank"" href=""https://www.mirror.co.uk/news/politics/covid-19-test-firm-chief-22743592"">joined the board of REVIV Global</a>, whose medical director said he hoped the appointment would ""open doors"" for the company.",job,
REVIV Global,UK government,"REVIV Global is <a target=""_blank"" href=""REVIV Global"">reportedly in talks with the UK government</a> about providing COVID-19 testing",meeting,
Leader's Club,Haraldur Agustsson,"Haraldur Agustsson is part of the exclusive ""Leaders' Club"" for wealthy Conservative donors",member,
Globus Group,Globus (Shetland),Globus (Shetland) is part of Globus Group,corporate,
Globus Group,Alpha Solway,Alpha Solway is part of Globus Group,corporate,
Scottish government,Alpha Solway,"Alpha Solway has been awarded several large contracts by the Scottish government, including a <a target=""_blank"" href=""https://www.bbc.com/news/uk-scotland-south-scotland-53951073"">£53 million contract</a> to provide PPEE to NHS Scotland",contract,
Mauritius,Ayanda Capital,"Ayanda Capital is registered in Mauritius, a notorious tax haven",jurisdiction,
Isle of Man,Knox House Trust,"Knox House Trust is registered in the Isle of Man, a tax haven",jurisdiction,
UK government,Scottish government,"Many aspects of the COVID-19 response are the responsibility of the devolved administrations in Northern Ireland, Scotland and Wales",connection,
Conservative party,Jesse Norman,Jesse Norman is a Conservative MP and government minister,job,
Conservative party,David Meller,"David Meller has <a target=""_blank"" href=""http://search.electoralcommission.org.uk/?currentPage=1&rows=10&query=david%20meller&sort=AcceptedDate&order=desc&tab=1&et=pp&et=ppm&et=tp&et=perpar&et=rd&isIrishSourceYes=true&isIrishSourceNo=true&prePoll=false&postPoll=true&register=gb&register=ni&register=none&optCols=Register&optCols=CampaigningName&optCols=AccountingUnitsAsCentralParty&optCols=IsSponsorship&optCols=IsIrishSource&optCols=RegulatedDoneeType&optCols=CompanyRegistrationNumber&optCols=Postcode&optCols=NatureOfDonation&optCols=PurposeOfVisit&optCols=DonationAction&optCols=ReportedDate&optCols=IsReportedPrePoll&optCols=ReportingPeriodName&optCols=IsBequest&optCols=IsAggregation"">donated nearly £60,000 to the Conservative party</a> since 2015",donor,60
Meller Group,Meller Designs,Meller Designs is part of the Meller Group,,
Meller Group,David Meller,"David Meller was <a target=""_blank"" href=""https://find-and-update.company-information.service.gov.uk/company/05712299/officers"">a director at the Meller Group</a> until 2013",job,
Meller Designs,David Meller,"David Meller was <a target=""_blank"" href=""https://find-and-update.company-information.service.gov.uk/company/00502663/officers"">a director at Meller Designs</a> until 2013",job,
Meller Designs,UK government,"Meller Designs has been awarded <a target=""_blank"" href=""https://bylinetimes.com/2020/11/02/minister-meetings-fuel-conservative-procurement-scandal/"">£155 million in contracts to provide masks and hand sanitizer</a> by the Department of Health and Social Care (DHSC)",contract,155000
Meller Designs,James Bethell,"Lord James Bethell, who serves as Parliamentary Under Secretary of State at the Department of Health and Social Care, and Lord Andrew Feldman <a target=""_blank"" href=""https://bylinetimes.com/2020/11/02/minister-meetings-fuel-conservative-procurement-scandal/"">met with Meller Designs in April 2020</a>, a month before the company was awarded a series of government contracts to provide PPE",meeting,
Topham Guerin,James Bethell,"Lord James Bethell <a target=""_blank"" href=""https://bylinetimes.com/2020/11/02/minister-meetings-fuel-conservative-procurement-scandal/"">met with Tory-connected PR firm Topham Guerin in May 2020</a>, a few months before the firm was awarded a £3 million contract to work on digital messaging",meeting,
UK government,Clipper Logistics,"Clipper Logistics <a target=""_blank"" href=""https://bylinetimes.com/2020/10/25/500-million-government-ppe-deals-conservative-companies-donors/"">won a £1.3 million government contract</a> to distribute PPE",contract,1.3
Clipper Logistics,Steve Parkin,"Steve Parkin is the founder and a <a href=""https://find-and-update.company-information.service.gov.uk/officers/1blNOR0nSqzSuK6wu54XkJ_92Ac/appointments"">current director</a> of Clipper Logistics",job,
Conservative party,Steve Parkin,"Steve Parkin, founder of Clipper Logistics, has <a target=""_blank"" href=""http://search.electoralcommission.org.uk/?currentPage=1&rows=10&query=Steve%20Parkin&sort=AcceptedDate&order=desc&tab=1&et=pp&et=ppm&et=tp&et=perpar&et=rd&isIrishSourceYes=true&isIrishSourceNo=true&prePoll=false&postPoll=true&register=gb&register=ni&register=none&optCols=Register&optCols=CampaigningName&optCols=AccountingUnitsAsCentralParty&optCols=IsSponsorship&optCols=IsIrishSource&optCols=RegulatedDoneeType&optCols=CompanyRegistrationNumber&optCols=Postcode&optCols=NatureOfDonation&optCols=PurposeOfVisit&optCols=DonationAction&optCols=ReportedDate&optCols=IsReportedPrePoll&optCols=ReportingPeriodName&optCols=IsBequest&optCols=IsAggregation"">given £725,000 to the Conservative party</a> since 2017",donor,725
Meller Designs,Andrew Feldman,"Lord Andrew Feldman and Lord James Bethell <a target=""_blank"" href=""https://bylinetimes.com/2020/11/02/minister-meetings-fuel-conservative-procurement-scandal/"">met with Meller Designs in April 2020</a>, a month before the company was awarded a series of government contracts to provide PPE",meeting,
Randox,James Bethell,"Lord James Bethell <a target=""_blank"" href=""https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/930813/dhsc-ministers-meetings-april-to-june2020.csv/preview"">held a phone call with Randox</a>, which has been awarded multimillion pound contracts for COVID-19 testing, and Owen Paterson, a Conservative MP who also works as a paid consultant for Randox",meeting,
Randox,Owen Paterson,"Conservative MP Owen Paterson held a phone call with Randox, where he works as a paid adviser, and Lord James Bethell <a target=""_blank"" href=""https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/930813/dhsc-ministers-meetings-april-to-june2020.csv/preview"">to ""discuss COVID-19 testing""</a> ",meeting,
James Bethell,Owen Paterson,"Lord James Bethell <a target=""_blank"" href=""https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/930813/dhsc-ministers-meetings-april-to-june2020.csv/preview"">held a phone call with Randox</a>, which has been awarded multimillion pound contracts for COVID-19 testing, and Owen Paterson, a Conservative MP who also works as a paid consultant for Randox",meeting,
David Meller,Policy Exchange,"David Meller was a trustee of the Conservative-leaning think tank, Policy Exchange, founded by Michael Gove",job,
Michael Gove,Policy Exchange,"Michael Gove founded the Conservative-leaning think tank, Policy Exchange",job,
Theodore Agnew,Policy Exchange,"Theodore Agnew was a trustee of the Conservative-leaning think tank, Policy Exchange, founded by Michael Gove",job,
Conservative party,Theodore Agnew,"Theordore Agnew has <a target=""_blank"" href=""http://search.electoralcommission.org.uk/?currentPage=1&rows=10&query=theodore%20agnew&sort=AcceptedDate&order=desc&tab=1&et=pp&et=ppm&et=tp&et=perpar&et=rd&isIrishSourceYes=true&isIrishSourceNo=true&prePoll=false&postPoll=true&register=gb&register=ni&register=none&optCols=Register&optCols=CampaigningName&optCols=AccountingUnitsAsCentralParty&optCols=IsSponsorship&optCols=IsIrishSource&optCols=RegulatedDoneeType&optCols=CompanyRegistrationNumber&optCols=Postcode&optCols=NatureOfDonation&optCols=PurposeOfVisit&optCols=DonationAction&optCols=ReportedDate&optCols=IsReportedPrePoll&optCols=ReportingPeriodName&optCols=IsBequest&optCols=IsAggregation"">given almost £150,000 to the Conservative party</a> since 2007",donor,150
David Meller,Michael Gove,"David Meller <a target=""_blank"" href=""http://search.electoralcommission.org.uk/?currentPage=1&rows=10&query=david%20meller&sort=AcceptedDate&order=desc&tab=1&et=pp&et=ppm&et=tp&et=perpar&et=rd&isIrishSourceYes=true&isIrishSourceNo=true&prePoll=false&postPoll=true&register=gb&register=ni&register=none&optCols=Register&optCols=CampaigningName&optCols=AccountingUnitsAsCentralParty&optCols=IsSponsorship&optCols=IsIrishSource&optCols=RegulatedDoneeType&optCols=CompanyRegistrationNumber&optCols=Postcode&optCols=NatureOfDonation&optCols=PurposeOfVisit&optCols=DonationAction&optCols=ReportedDate&optCols=IsReportedPrePoll&optCols=ReportingPeriodName&optCols=IsBequest&optCols=IsAggregation"">gave over £3,000 to Michael Gove's short-lived Conservative leadership campaign</a> in 2016",donor,3
Leader's Club,Steve Parkin,"Steve Parkin is reportedly a <a target=""_blank"" href=""https://www.opendemocracy.net/en/dark-money-investigations/revealed-the-elite-dining-club-behind-130m-donations-to-the-tories/"">member of the Leader's Club</a>, the exclusive dining club for wealthy Conservative donors",member,
UK government,David Meller,"Conservative donor David Meller served as a <a target=""_blank"" href=""https://www.theguardian.com/uk-news/2018/jan/24/david-meller-presidents-club-groping-scandal-wealthy-tory-donor"">non-executive board member for the Department of Education</a> from 2013 to 2018",job,
